"cell","method","n_ok","n_fail","bias","mcse","emp_se","mod_se","rmse","coverage","cov_mcse","ess","design","var_T","ratio","shift","em","exact_unadj"
13,"maic_meanvar",1000,0,-0.00339562906745821,0.00772281157452671,0.244216745158156,0.239414379654694,0.244118223600353,0.94,0.00750999334220744,645.231589429731,"anchored",0.25,2,0,"none",-0.0313127031742616
13,"gcomp",1000,0,-0.00436515676177053,0.00677449647566672,0.214228388638903,0.209985565757386,0.214165737899125,0.937,0.00768316341099159,NA,"anchored",0.25,2,0,"none",-0.0313127031742616
14,"maic_index",1000,0,-0.000242889402933985,0.00531818362272989,0.168175732628321,0.167261217489147,0.168091799214862,0.957,0.00641490451994416,429.186600585832,"unanchored",0.25,2,0,"none",-0.0691827925566502
14,"gcomp",1000,0,-0.000149717787589632,0.00514861899078046,0.162813628152637,0.161007132495959,0.162732269848758,0.959,0.00627048642451286,NA,"unanchored",0.25,2,0,"none",-0.0691827925566502
14,"maic_means",1000,0,-0.0760922067753257,0.00497711183375908,0.15739009564056,0.159216314386117,0.174748088674749,0.924,0.00837997613361756,496.201952862477,"unanchored",0.25,2,0,"none",-0.0691827925566502
14,"maic_meanvar",1000,0,-0.00272133710203479,0.00586916230258683,0.185599208333727,0.182733637897134,0.185526345146977,0.951,0.00682634602111555,321.270484988168,"unanchored",0.25,2,0,"none",-0.0691827925566502
14,"unadjusted",1000,0,-0.0788483299943027,0.00510832216089103,0.161539330503288,0.15890098341885,0.179682830251088,0.918,0.00867617427210864,500,"unanchored",0.25,2,0,"none",-0.0691827925566502
15,"maic_means",1000,0,-0.0699481134275166,0.00603087577185374,0.190713037245838,0.200551580412749,0.203046373237804,0.942,0.00739161687318817,995.238932743508,"anchored",1,2,0,"none",-0.0814357797411719
15,"gcomp",1000,0,0.00745782033413561,0.00594917649927668,0.188129479400614,0.198939598546974,0.188183228271445,0.958,0.00634318531969546,NA,"anchored",1,2,0,"none",-0.0814357797411719
15,"maic_meanvar",1000,0,0.00803027416554868,0.00692382863762493,0.218950686235954,0.228710201947898,0.218988467512255,0.954,0.00662449998113065,646.488324678236,"anchored",1,2,0,"none",-0.0814357797411719
15,"maic_index",1000,0,0.0100119391937434,0.00633200743695395,0.200235656618995,0.210190321626397,0.200385784899722,0.957,0.00641490451994416,862.688093095068,"anchored",1,2,0,"none",-0.0814357797411719
15,"unadjusted",1000,0,-0.0694935825632308,0.00603241443628133,0.190761694087297,0.200333466090811,0.202935930590413,0.942,0.00739161687318817,1000,"anchored",1,2,0,"none",-0.0814357797411719
16,"maic_means",1000,0,-0.164226293029128,0.00448337415679838,0.141776739382198,0.149492157820539,0.216912006371494,0.815,0.0122790471943062,496.201560552949,"unanchored",1,2,0,"none",-0.166613021195602
16,"gcomp",1000,0,0.00594262911746406,0.00479075036304011,0.151496828484853,0.150699509289651,0.151537627646587,0.946,0.00714730718522718,NA,"unanchored",1,2,0,"none",-0.166613021195602
16,"maic_meanvar",1000,0,0.00127810752038257,0.00534307791958954,0.168962959416569,0.171898966793795,0.168883293229331,0.952,0.00675988165576884,321.648589184355,"unanchored",1,2,0,"none",-0.166613021195602
16,"maic_index",1000,0,0.0049497274307501,0.0048244616271807,0.152562872259731,0.157610283509643,0.152566884885894,0.96,0.00619677335393187,429.65094970575,"unanchored",1,2,0,"none",-0.166613021195602
